NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,
t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm)
1.0208,17.144,,,0.8333,13.308,,,1.55,23.837,,,1.5417,24.699,,,1.5,31.39,,,0.625,3.8956
1.0417,17.135,,,0.8542,13.299,,,1.5625,23.825,,,1.55,24.695,,,1.5208,31.36,,,0.6285,3.8944
1.0625,17.127,,,0.875,13.289,,,1.5833,23.803,,,1.5625,24.688,,,1.5417,31.331,,,0.6328,3.8931
1.0833,17.12,,,0.8958,13.28,,,1.6042,23.781,,,1.5833,24.677,,,1.55,31.32,,,0.6393,3.8911
1.085,17.119,,,0.9167,13.27,,,1.625,23.759,,,1.6042,24.666,,,1.5625,31.302,,,0.6458,3.8892
1.1042,17.112,,,0.93,13.264,,,1.6458,23.737,,,1.625,24.654,,,1.5833,31.273,,,0.651,3.8876
1.125,17.105,,,0.9375,13.261,,,1.6667,23.715,,,1.6458,24.642,,,1.6042,31.244,,,0.6589,3.8853
1.1458,17.096,,,0.9583,13.251,,,1.6875,23.693,,,1.6667,24.63,,,1.625,31.215,,,0.6667,3.8831
1.1667,17.089,,,0.9792,13.242,,,1.705,23.675,,,1.6875,24.618,,,1.6458,31.187,,,0.6771,3.8785
1.1875,17.081,,,1,13.234,,,1.7292,23.65,,,1.705,24.608,,,1.6667,31.158,,,0.6875,3.874
1.2083,17.073,,,1.0208,13.226,,,1.75,23.629,,,1.7292,24.594,,,1.6875,31.13,,,0.6979,3.8695
1.2292,17.065,,,1.0417,13.218,,,1.7708,23.608,,,1.75,24.583,,,1.705,31.107,,,0.7083,3.8653
1.24,17.061,,,1.0625,13.21,,,1.7917,23.587,,,1.7708,24.571,,,1.7083,31.103,,,0.7292,3.8568
1.25,17.057,,,1.0833,13.203,,,1.8125,23.566,,,1.7917,24.56,,,1.7292,31.075,,,0.7396,3.871
1.2708,17.05,,,1.085,13.202,,,1.8333,23.545,,,1.8125,24.548,,,1.75,31.048,,,0.7431,3.874
1.2917,17.042,,,1.1042,13.195,,,1.86,23.518,,,1.8333,24.536,,,1.7708,31.021,,,0.7465,3.877
1.3125,17.034,,,1.125,13.187,,,1.875,23.503,,,1.86,24.521,,,1.7917,30.993,,,0.75,3.8799
1.3333,17.028,,,1.1458,13.18,,,1.8958,23.482,,,1.875,24.512,,,1.8125,30.966,,,0.75,3.8799
1.3542,17.021,,,1.1667,13.172,,,1.9167,23.462,,,1.8958,24.5,,,1.8333,30.938,,,0.752,3.879
1.375,17.014,,,1.1875,13.165,,,1.9375,23.441,,,1.9167,24.488,,,1.8542,30.911,,,0.7547,3.8779
1.395,17.007,,,1.2083,13.158,,,1.9583,23.42,,,1.9375,24.476,,,1.86,30.903,,,0.7579,3.8764
1.3958,17.007,,,1.2292,13.151,,,1.9792,23.4,,,1.9583,24.464,,,1.875,30.883,,,0.7622,3.8746
1.3958,17.007,,,1.24,13.147,,,2,23.38,,,1.9792,24.452,,,1.8958,30.856,,,0.7665,3.8727
1.4167,17,,,1.25,13.144,,,2.015,23.366,,,2,24.44,,,1.9167,30.829,,,0.7708,3.8708
1.4375,16.993,,,1.2708,13.137,,,2.0208,23.36,,,2.015,24.432,,,1.9375,30.801,,,0.7708,3.8708
1.4583,16.986,,,1.2917,13.129,,,2.0208,23.36,,,2.0208,24.429,,,1.9583,30.774,,,0.775,3.8693
1.4792,16.979,,,1.3125,13.122,,,2.0417,23.343,,,2.0208,24.429,,,1.9792,30.747,,,0.7806,3.8672
1.5,16.971,,,1.3333,13.116,,,2.0625,23.325,,,2.0417,24.419,,,2,30.72,,,0.7917,3.8631
1.5104,16.972,,,1.3542,13.11,,,2.0833,23.307,,,2.0625,24.409,,,2.015,30.701,,,0.8021,3.8593
1.5208,16.973,,,1.375,13.103,,,2.1042,23.288,,,2.0833,24.399,,,2.0208,30.694,,,0.8125,3.8556
1.5417,16.965,,,1.395,13.096,,,2.125,23.271,,,2.1042,24.388,,,2.0417,30.669,,,0.8229,3.8519
1.55,16.962,,,1.3958,13.096,,,2.1458,23.256,,,2.125,24.378,,,2.0625,30.644,,,0.8333,3.8481
1.5625,16.958,,,1.3958,13.096,,,2.1667,23.242,,,2.1458,24.371,,,2.0833,30.618,,,0.8542,3.8405
1.5833,16.95,,,1.4167,13.089,,,2.17,23.24,,,2.1667,24.365,,,2.1042,30.593,,,0.875,3.8349
1.6042,16.942,,,1.4375,13.082,,,2.1875,23.228,,,2.17,24.364,,,2.125,30.569,,,0.8819,3.8323
1.625,16.934,,,1.4583,13.075,,,2.2083,23.229,,,2.1875,24.358,,,2.1458,30.543,,,0.8889,3.8296
1.6458,16.926,,,1.4792,13.068,,,2.2292,23.224,,,2.2083,24.366,,,2.1667,30.519,,,0.8958,3.8269
1.6667,16.919,,,1.5,13.061,,,2.25,23.208,,,2.2292,24.368,,,2.17,30.521,,,0.9063,3.823
1.6875,16.912,,,1.5208,13.064,,,2.2708,23.191,,,2.25,24.359,,,2.1875,30.532,,,0.9167,3.8192
1.705,16.906,,,1.5417,13.057,,,2.2917,23.176,,,2.2708,24.349,,,2.2083,30.507,,,0.93,3.8144
1.7083,16.905,,,1.55,13.054,,,2.325,23.15,,,2.2917,24.341,,,2.2292,30.483,,,0.9375,3.8117
1.7083,16.905,,,1.5625,13.05,,,2.3333,23.143,,,2.325,24.325,,,2.25,30.459,,,0.9583,3.8045
1.7292,16.897,,,1.5833,13.042,,,2.3542,23.127,,,2.3333,24.321,,,2.2708,30.435,,,0.9792,3.7978
1.75,16.89,,,1.6042,13.035,,,2.375,23.11,,,2.3542,24.311,,,2.2917,30.411,,,1,3.7914
1.7708,16.883,,,1.625,13.028,,,2.3958,23.093,,,2.375,24.301,,,2.3125,30.387,,,1.0208,3.7871
1.7917,16.876,,,1.6458,13.021,,,2.4167,23.076,,,2.3958,24.291,,,2.325,30.372,,,1.0278,3.7851
1.8125,16.868,,,1.6667,13.014,,,2.4375,23.06,,,2.4167,24.281,,,2.3333,30.362,,,1.0347,3.7831
1.8333,16.86,,,1.6875,13.008,,,2.4583,23.043,,,2.4375,24.27,,,2.3542,30.338,,,1.0417,3.7811
1.8542,16.852,,,1.705,13.004,,,2.4792,23.026,,,2.4583,24.26,,,2.375,30.314,,,1.0417,3.7811
1.86,16.85,,,1.7083,13.003,,,2.48,23.025,,,2.4792,24.249,,,2.3958,30.29,,,1.0451,3.7801
1.875,16.844,,,1.7083,13.003,,,2.5208,22.993,,,2.48,24.249,,,2.4167,30.265,,,1.0495,3.7789
1.8958,16.836,,,1.7292,12.997,,,2.5417,22.977,,,2.5208,24.229,,,2.4375,30.241,,,1.056,3.7771
1.9167,16.828,,,1.75,12.991,,,2.5625,22.961,,,2.5417,24.219,,,2.4583,30.218,,,1.0625,3.7753
1.9375,16.82,,,1.7708,12.986,,,2.5833,22.945,,,2.5625,24.209,,,2.4792,30.194,,,1.0625,3.7753
1.9583,16.812,,,1.7917,12.98,,,2.6042,22.929,,,2.5833,24.199,,,2.48,30.193,,,1.0694,3.7732
1.9792,16.803,,,1.8125,12.974,,,2.625,22.913,,,2.6042,24.189,,,2.5,30.169,,,1.0833,3.7692
2,16.795,,,1.8333,12.969,,,2.635,22.906,,,2.625,24.179,,,2.5208,30.145,,,1.085,3.7705
2.015,16.79,,,1.8542,12.963,,,2.6458,22.897,,,2.635,24.174,,,2.5417,30.121,,,1.0914,3.7685
2.0208,16.788,,,1.86,12.961,,,2.6667,22.881,,,2.6458,24.169,,,2.5625,30.098,,,1.0978,3.7665
2.0417,16.783,,,1.875,12.957,,,2.6875,22.865,,,2.6667,24.159,,,2.5833,30.074,,,1.1042,3.7645
2.0625,16.777,,,1.8958,12.951,,,2.7292,22.832,,,2.6875,24.148,,,2.6042,30.051,,,1.1146,3.7618
2.0833,16.771,,,1.9167,12.946,,,2.75,22.816,,,2.7292,24.127,,,2.625,30.029,,,1.125,3.7592
2.1042,16.766,,,1.9375,12.94,,,2.7708,22.799,,,2.75,24.116,,,2.635,30.017,,,1.1458,3.7541
2.125,16.761,,,1.9583,12.934,,,2.79,22.784,,,2.7708,24.105,,,2.6458,30.005,,,1.1667,3.7497
2.1458,16.756,,,1.9792,12.928,,,2.7917,22.783,,,2.79,24.095,,,2.6667,29.982,,,1.1875,3.7456
2.1563,16.759,,,2,12.922,,,2.8125,22.767,,,2.7917,24.095,,,2.6875,29.96,,,1.2083,3.7411
2.1667,16.762,,,2.015,12.918,,,2.8333,22.752,,,2.8125,24.084,,,2.7083,29.937,,,1.2292,3.7373
2.17,16.762,,,2.0208,12.917,,,2.8542,22.738,,,2.8333,24.075,,,2.7292,29.914,,,1.24,3.7354
2.1875,16.759,,,2.0417,12.912,,,2.875,22.723,,,2.8542,24.066,,,2.75,29.891,,,1.25,3.7335
2.2083,16.753,,,2.0625,12.908,,,2.8958,22.708,,,2.875,24.056,,,2.7708,29.869,,,1.2708,3.7297
2.2292,16.747,,,2.0833,12.904,,,2.9167,22.694,,,2.8958,24.047,,,2.79,29.849,,,1.2917,3.728
2.25,16.742,,,2.1042,12.9,,,2.9375,22.679,,,2.9167,24.038,,,2.7917,29.847,,,1.2986,3.7308
2.2708,16.737,,,2.125,12.896,,,2.945,22.674,,,2.9375,24.029,,,2.8125,29.826,,,1.3009,3.7304
2.2917,16.733,,,2.1458,12.892,,,2.9583,22.665,,,2.945,24.025,,,2.8333,29.804,,,1.3038,3.7298
2.3125,16.729,,,2.1667,12.899,,,2.9792,22.651,,,2.9583,24.019,,,2.8542,29.784,,,1.3082,3.7289
2.325,16.727,,,2.17,12.899,,,3,22.636,,,2.9792,24.01,,,2.875,29.763,,,1.3125,3.728
2.3333,16.725,,,2.1875,12.897,,,3.0208,22.622,,,3,24.001,,,2.8958,29.742,,,1.3177,3.727
2.3333,16.725,,,2.2083,12.892,,,3.0417,22.608,,,3.0208,23.992,,,2.9167,29.722,,,1.3255,3.7254
2.3542,16.722,,,2.2292,12.887,,,3.0625,22.593,,,3.0417,23.982,,,2.9375,29.701,,,1.3333,3.7238
2.375,16.717,,,2.25,12.882,,,3.0833,22.579,,,3.0625,23.973,,,2.945,29.693,,,1.3333,3.7238
2.3958,16.714,,,2.2708,12.878,,,3.1,22.567,,,3.0833,23.963,,,2.9583,29.68,,,1.3368,3.7232
2.4167,16.71,,,2.2917,12.875,,,3.1042,22.564,,,3.1,23.956,,,2.9792,29.66,,,1.3412,3.7223
2.4375,16.706,,,2.3125,12.871,,,3.125,22.549,,,3.1042,23.954,,,3,29.639,,,1.3477,3.7212
2.4583,16.703,,,2.325,12.869,,,3.1458,22.534,,,3.125,23.943,,,3.0208,29.619,,,1.3542,3.72
2.4792,16.698,,,2.3333,12.867,,,3.1667,22.52,,,3.1458,23.934,,,3.0417,29.598,,,1.3611,3.7188
