NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,,
t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),,,t,flux (cm/d),cum. Flux (cm)
2.3333,0,,,2.1875,0,,,3.0208,0,,,3,0,,,2.8958,0,,,1.3177,0,18.402
2.3333,0,,,2.2083,0,,,3.0417,0,,,3.0208,0,,,2.9167,0,,,1.3255,0,18.402
2.3542,0,,,2.2292,0,,,3.0625,0,,,3.0417,0,,,2.9375,0,,,1.3333,0,18.402
2.375,0,,,2.25,0,,,3.0833,0,,,3.0625,0,,,2.945,0,,,1.3333,0,18.402
2.3958,0,,,2.2708,0,,,3.1,0,,,3.0833,0,,,2.9583,0,,,1.3368,0,18.402
2.4167,0,,,2.2917,0,,,3.1042,0,,,3.1,0,,,2.9792,0,,,1.3412,0,18.402
2.4375,0,,,2.3125,0,,,3.125,0,,,3.1042,0,,,3,0,,,1.3477,0,18.402
2.4583,0,,,2.325,0,,,3.1458,0,,,3.125,0,,,3.0208,0,,,1.3542,0,18.402
2.4792,0,,,2.3333,0,,,3.1667,0,,,3.1458,0,,,3.0417,0,,,1.3611,0,18.402
2.48,0,,,2.3333,0,,,3.1875,0,,,3.1667,0,,,3.0625,0,,,1.375,0,18.402
2.5,0,,,2.3542,0,,,3.2083,0,,,3.1875,0,,,3.0833,0,,,1.385,0,18.402
2.5069,0,,,2.375,0,,,3.2292,0,,,3.2083,0,,,3.1,0,,,1.395,0,18.402
2.5139,0,,,2.3958,0,,,3.25,0,,,3.2292,0,,,3.1042,0,,,1.3958,0,18.402
2.5208,0,,,2.4167,0,,,3.255,0,,,3.25,0,,,3.125,0,,,1.3958,0,18.402
2.5208,0,,,2.4375,0,,,3.2708,0,,,3.255,0,,,3.1458,0,,,1.4167,0,18.402
2.5313,0,,,2.4583,0,,,3.2917,0,,,3.2708,0,,,3.1667,0,,,1.4375,0,18.402
2.5417,0,,,2.4792,0,,,3.3125,0,,,3.2917,0,,,3.1875,0,,,1.4583,0,18.402
2.5486,0,,,2.48,0,,,3.3333,0,,,3.3125,0,,,3.2083,0,,,1.4687,0,18.402
2.5556,0,,,2.5,0,,,3.3542,0,,,3.3333,0,,,3.2292,0,,,1.4792,0,18.402
2.5625,0,,,2.5208,0,,,3.375,0,,,3.3542,0,,,3.25,0,,,1.4896,0,18.402
2.5729,0,,,2.5417,0,,,3.3958,0,,,3.375,0,,,3.255,0,,,1.5,0,18.402
2.5833,0,,,2.5625,0,,,3.41,0,,,3.3958,0,,,3.2708,0,,,1.5208,0,18.402
2.5903,0,,,2.5833,0,,,3.4167,0,,,3.41,0,,,3.2917,0,,,1.5417,0,18.402
2.5972,0,,,2.6042,0,,,3.4375,0,,,3.4167,0,,,3.3125,0,,,1.5444,0,18.402
2.6042,0,,,2.625,0,,,3.4583,0,,,3.4375,0,,,3.3333,0,,,1.5472,0,18.402
2.6042,0,,,2.635,0,,,3.4792,0,,,3.4583,0,,,3.3542,0,,,1.55,0,18.402
2.6146,0,,,2.6458,0,,,3.5,0,,,3.4792,0,,,3.375,0,,,1.5542,0,18.402
2.625,0,,,2.6667,0,,,3.5208,0,,,3.5,0,,,3.3958,0,,,1.5625,0,18.402
2.635,0,,,2.6875,0,,,3.5625,0,,,3.5208,0,,,3.41,0,,,1.5694,0,18.402
2.6458,0,,,2.7083,0,,,3.565,0,,,3.5625,0,,,3.4167,0,,,1.5833,0,18.402
2.6528,0,,,2.7292,0,,,3.5833,0,,,3.565,0,,,3.4167,0,,,1.5938,0,18.402
2.6597,0,,,2.75,0,,,3.6042,0,,,3.5833,0,,,3.4375,0,,,1.6042,0,18.402
2.6667,0,,,2.7708,0,,,3.6458,0,,,3.6042,0,,,3.4583,0,,,1.625,0,18.402
2.6771,0,,,2.79,0,,,3.6875,0,,,3.6458,0,,,3.4792,0,,,1.6458,0,18.402
2.6875,0,,,2.7917,0,,,3.7083,0,,,3.6875,0,,,3.5,0,,,1.6667,0,18.402
2.6944,0,,,2.8125,0,,,3.72,0,,,3.7083,0,,,3.5208,0,,,1.6875,0,18.402
2.7014,0,,,2.8333,0,,,3.7292,0,,,3.72,0,,,3.5417,0,,,1.705,0,18.402
2.7083,0,,,2.8542,0,,,3.75,0,,,3.7292,0,,,3.5625,0,,,1.707,0,18.402
2.7083,0,,,2.875,0,,,3.7708,0,,,3.75,0,,,3.565,0,,,1.7083,0,18.402
2.7188,0,,,2.8958,0,,,3.7917,0,,,3.7708,0,,,3.5833,0,,,1.7109,0,18.402
2.7292,0,,,2.9167,0,,,3.8125,0,,,3.7917,0,,,3.6042,0,,,1.7146,0,18.402
2.7361,0,,,2.9375,0,,,3.8333,0,,,3.8125,0,,,3.625,0,,,1.7194,0,18.402
2.7431,0,,,2.945,0,,,3.8542,0,,,3.8333,0,,,3.6458,0,,,1.7243,0,18.402
2.75,0,,,2.9583,0,,,3.875,0,,,3.8542,0,,,3.6667,0,,,1.7292,0,18.402
2.7604,0,,,2.9792,0,,,3.8958,0,,,3.875,0,,,3.6875,0,,,1.7361,0,18.402
2.7708,0,,,3,0,,,3.9167,0,,,3.8958,0,,,3.7083,0,,,1.75,0,18.402
2.7772,0,,,3.0208,0,,,3.9375,0,,,3.9167,0,,,3.72,0,,,1.7604,0,18.402
2.7836,0,,,3.0417,0,,,3.9583,0,,,3.9271,0,,,3.7292,0,,,1.7708,0,18.402
2.79,0,,,3.0625,0,,,3.9792,0,,,3.9375,0,,,3.75,0,,,1.7917,0,18.402
2.7917,0,,,3.0833,0,,,4,0,,,3.9479,0,,,3.7708,0,,,1.8125,0,18.402
2.8021,0,,,3.1,0,,,4.0208,0,,,3.9583,0,,,3.7917,0,,,1.8194,0,18.402
2.8125,0,,,3.1042,0,,,4.03,0,,,3.9792,0,,,3.8125,0,,,1.8264,0,18.402
2.8194,0,,,3.125,0,,,4.0417,0,,,4,0,,,3.8229,0,,,1.8333,0,18.402
2.8264,0,,,3.1458,0,,,4.0625,0,,,4.0208,0,,,3.8333,0,,,1.8333,0,18.402
2.8333,0,,,3.1667,0,,,4.0833,0,,,4.03,0,,,3.8438,0,,,1.8368,0,18.402
2.8333,0,,,3.1875,0,,,4.1042,0,,,4.0417,0,,,3.8542,0,,,1.8412,0,18.402
2.8438,0,,,3.2083,0,,,4.125,0,,,4.0625,0,,,3.8646,0,,,1.8477,0,18.402
2.8542,0,,,3.2292,0,,,4.1458,0,,,4.0833,0,,,3.875,0,,,1.8542,0,18.402
2.8611,0,,,3.25,0,,,4.1667,0,,,4.1042,0,,,3.8958,0,,,1.86,0,18.402
2.8681,0,,,3.255,0,,,4.185,0,,,4.125,0,,,3.9167,0,,,1.8675,0,18.402
2.875,0,,,3.2708,0,,,4.1875,0,,,4.1458,0,,,3.9375,0,,,1.875,0,18.402
2.8854,0,,,3.2917,0,,,4.1875,0,,,4.1667,0,,,3.9479,0,,,1.8854,0,18.402
2.8958,0,,,3.3125,0,,,4.2083,0,,,4.185,0,,,3.9583,0,,,1.8958,0,18.402
2.9028,0,,,3.3333,0,,,4.2292,0,,,4.1875,0,,,3.9688,0,,,1.9062,0,18.402
2.9097,0,,,3.3542,0,,,4.25,0,,,4.1875,0,,,3.9792,0,,,1.9167,0,18.402
2.9167,0,,,3.375,0,,,4.2708,0,,,4.1979,0,,,4,0,,,1.9375,0,18.402
2.9271,0,,,3.3958,0,,,4.2917,0,,,4.2083,0,,,4.0208,0,,,1.9583,0,18.402
2.9375,0,,,3.41,0,,,4.3125,0,,,4.2292,0,,,4.03,0,,,1.9653,0,18.402
2.945,0,,,3.4167,0,,,4.3333,0,,,4.25,0,,,4.0417,0,,,1.9722,0,18.402
2.9583,0,,,3.4375,0,,,4.34,0,,,4.2708,0,,,4.0625,0,,,1.9792,0,18.402
2.9653,0,,,3.4583,0,,,4.375,0,,,4.2917,0,,,4.0833,0,,,1.9896,0,18.402
2.9722,0,,,3.4792,0,,,4.3958,0,,,4.3125,0,,,4.1042,0,,,2,0,18.402
2.9792,0,,,3.5,0,,,4.4375,0,,,4.3333,0,,,4.125,0,,,2.015,0,18.402
2.9896,0,,,3.5208,0,,,4.4583,0,,,4.34,0,,,4.1458,0,,,2.0208,0,18.402
3,0,,,3.5417,0,,,4.4792,0,,,4.3575,0,,,4.1667,0,,,2.0417,0,18.402
3.0069,0,,,3.5625,0,,,4.495,0,,,4.375,0,,,4.185,0,,,2.0625,0,18.402
